Document,frames,fes
Reporter_Brasil_02_13,71,165
Reporter_Brasil_02_14,71,186
Reporter_Brasil_03_11,77,182
Reporter_Brasil_03_12,47,99
Reporter_Brasil_04_01,114,290
Reporter_Brasil_04_06,34,77
Reporter_Brasil_05_01,54,153
Reporter_Brasil_05_02,80,251
Reporter_Brasil_05_03,12,36
Reporter_Brasil_07_02,97,263
Reporter_Brasil_07_03,80,206
Reporter_Brasil_07_07,78,192
