idDocumentSentence1,idDocumentSentence2,cosine,sentence
3113825,5229850,-1,"Em comparação com o mesmo período do ano passado."
3113811,5229843,0.790934,"Houve queda significativa nas produções de minério de ferro e de petróleo no mês."
4344397,5229852,-1,"Caiu meio por cento em abril."
3113815,5229845,0.510836,"Dessa vez,  o setor extrativista pesou negativamente, com queda de três vírgula quatro por cento no mês."
3113819,5229847,0.211111,"Já produtos de maior valor agregado, apresentaram alta na produção como máquinas e equipamentos usados em indústrias."
3113823,5229849,-1,"Apesar da queda recente, a produção industrial no Brasil ainda sobe três e meio por cento neste ano."
4344395,5229851,0.618635,"A produção industrial nacional caiu meio por cento em abril."
3113813,5229844,0.663188,"Os dados do IBGE divulgados hoje mostram que a produção industrial caiu em Abril depois de dois meses seguidos de alta."
3113817,5229846,0.172794,"Dentro desses seguimentos estão grandes empresas, como a Vale e a Petrobrás, que têm  o minério e o petróleo como matéria-prima."
3113821,5229848,-1,"A produção de carros e caminhões foi a que mais cresceu em Abril, com alta de mais de treze por cento."
