Document,Anno,LOME,LOMEEdt
Reporter_Brasil_02_13,122,122,146
Reporter_Brasil_02_14,139,168,237
Reporter_Brasil_03_11,136,131,166
Reporter_Brasil_03_12,83,157,170
Reporter_Brasil_04_01,287,252,261
Reporter_Brasil_04_06,62,44,69
Reporter_Brasil_05_01,97,68,103
Reporter_Brasil_05_02,148,127,181
Reporter_Brasil_05_03,14,115,129
Reporter_Brasil_07_02,181,139,174
Reporter_Brasil_07_03,130,85,128
Reporter_Brasil_07_07,151,110,156
