idDocumentSentence1,idDocumentSentence2,cosine,sentence
3112147,5229637,0.475516,"Vamos ver agora uma reportagem que mostra a situação do Vale no Javari."
3112163,5229645,0.53733,"A gente fica o tempo todo extremamente preocupado sobre o risco de um caso parecido voltar a se repetir."
4358984,5229661,-1,"Ali a gente pode ver uma mesa, em que as pessoas vão debater o que está acontecendo na região onde aconteceram os assassinatos."
3112133,5229630,0.040023,"Olá, uma ótima noite para você, Porta Nova, para a Iara e para todos que acompanham o Repórter Brasil."
3112183,5229654,0.508952,"A gente espera que melhore as ações do Governo, sobretudo a proteção territorial, a segurança, saúde, educação."
4359000,5229670,0.800814,"Mas que o programa ainda não ofereceu medidas concretas de proteção como essas pessoas precisam."
4358987,5229663,0.799592,"Que fica na região onde aconteceram os assassinatos."
3112151,5229639,1,"O Vale do Javari é uma imensidão de oito milhões de hectares."
3112167,5229647,0.386369,"O Governo lançou um plano de proteção do Vale do Javari."
3112137,5229632,0.823258,"Como a gente pode observar, as pessoas já estão aqui trabalhando na organização do evento."
3348733,5229656,0.78278,"Entre as ações está o programa para proteger os defensores dos Direitos Humanos."
4359004,5229672,0.860559,"Dessas equipes que estão lá e, também, com outros órgãos de Governo."
3112123,5229625,0.865374,"Eles morreram lutando pela proteção dos povos indígenas que vivem no Vale do Javari, no Amazonas."
3112155,5229641,0.921907,"Os povos que vivem ali reclamam da insegurança e da falta de agentes públicos."
3112173,5229649,0.663146,"A viúva de Bruno Pereira não espera apenas justiça, mas também quer segurança para as comunidades amazônicas."
4358991,5229665,0.751163,"Que é a segunda maior terra indígena do Brasil e concentra o maior número de terras indígenas isoladas do mundo."
3112141,5229634,0.965177,"Também haverá um balanço das ações do governo na terra indígena Vale do Javari."
4358978,5229658,0.52382,"Contam como estão as investigações e dão uma ideia de como estão os defensores dos indígenas que vivem lá na região."
4359008,5229674,0.851807,"Que se não for tratado isso, vai vitimar outras pessoas, né?"
4358995,5229667,-1,"O Exército faz, o IBAMA as vezes faz também, fez uma vez com a FUNAI e… só se for ação pontual mesmo."
3112127,5229627,1,"Hoje o dia foi de homenagens em Brasília."
3112159,5229643,0.675557,"Agora, permanente, efetivamente, nessa região não tem como não."
3112177,5229651,0.134168,"E, sobretudo, as lideranças indígenas."
3112145,5229636,-1,"E, agora a noite, começou a projeção das imagens de Don e Bruno na esplanada dos ministérios."
4358982,5229660,0.842737,"Já tem alguns convidados que já chegaram também."
3112131,5229629,-1,"Manuela, muito boa noite para você."
3112181,5229653,0.438377,"Já no início do ano passado, nós deslocamos uma base fluvial, que é a base Nova Era, para a região do Vale do Javari."
4358998,5229669,0.658581,"Porque tem pessoas muito engajadas na luta pelo Vale do Javari, que seguem sofrendo ameaças."
3112149,5229638,-1,"Vamos ver agora."
3112165,5229646,0.721947,"Então, acho que esse é um ponto muito sério, que teve um pequeno avanço de colocá-los no programa."
4358985,5229662,0.805305,"Ali a gente pode ver uma mesa, em que as pessoas vão debater o que está acontecendo na região onde aconteceram os assassinatos."
3112185,5229655,0.764669,"Esses três, quatro temas principais que a gente espera que o Governo faça suas responsabilidades e ações, né?"
4359002,5229671,0.770883,"Que tem uma equipe de oito profissionais de diversas áreas."
3112135,5229631,0.577773,"Eu estou aqui no memorial dos povos indígenas, que fica no centro de Brasília."
3112121,5229624,0.819203,"A gente começa o Repórter Brasil falando sobre os dois anos dos assassinatos do indigenista brasileiro Bruno Pereira e do Jornalista Britânico Don Phillips."
3112153,5229640,0.997954,"Fica na fronteira entre Brasil, Peru e Colômbia."
3112171,5229648,0.255651,"Hoje nós já contamos naquele território com uma estrutura que garante a rápida comunicação com Brasília, a rápida comunicação com a equipe técnica federal."
4358989,5229664,0.324333,"E também, sobre o que está acontecendo no Vale do Javari."
3112139,5229633,0.927707,"E, além da homenagem."
3348735,5229657,0.386229,"Então, com a FUNAI, com os povos indígenas,  com a própria Polícia Federal."
4359006,5229673,0.436611,"Essa equipe, ela está habilitada a fazer esses diálogos buscando a garantia da proteção das lideranças."
3112125,5229626,0.31659,"Nós preparamos reportagens especiais que relembram o caso."
3112157,5229642,0.825454,"Permanente aqui, nessa região, não tem não, mas para fazer um trabalho esporádico, vai lá fazer uma operação rápida e volta."
3112175,5229650,0.282402,"Para além da punição dos executores, a gente espera que seja feito realmente um trabalho de desmantelamento daquela cadeia criminosa."
4358993,5229666,0.149085,"Tamanho equivalente a muitos países, como Áustria e Emirados Árabes."
4358980,5229659,0.873368,"E onde daqui a pouco, está marcado para às sete e meia da noite, vai começar um ato em homenagem aos dois anos de morte de Don Phillips e Bruno Pereira."
4359010,5229675,0.229703,"Implementamos novas ações, ações essas, inclusive, integradas com outros órgãos."
3112143,5229635,0.991168,"Hoje a tarde houve uma roda de conversas e também a exibição de um documentário sobre a morte de Don Phillips e Bruno Pereira."
3112129,5229628,0.81891,"Quem acompanhou  e vai trazer os detalhes para a gente agora é a Manuela Castro."
3112161,5229644,0.668486,"De acordo com a união dos povos indígenas do Vale do Javari, na época dos assassinatos de Bruno e Don em dois mil e vinte e dois, onze pessoas eram ameaçadas de morte na região."
3112179,5229652,0.588281,"Segundo a Polícia Federal, há um plano de segurança para a região."
4358996,5229668,0.350084,"O Exército faz, o IBAMA as vezes faz também, fez uma vez com a FUNAI e… só se for ação pontual mesmo."
