"Document Name",cosine_anno_lome,cosine_anno_lomeedt,cosine_lome_lomeedt
02_13,0.71989959090909,0.77632827272727,0.84611722727273
02_14,0.69181092307692,0.82672053846154,0.85095147826087
03_11,0.56253659259259,0.77685977777778,0.69274371428571
03_12,0.6152872962963,0.72882037037037,0.75470388888889
04_01,0.56856991666667,0.67572645652174,0.83221432608696
04_06,0.59824077777778,0.70803455555556,0.7668272
05_01,0.61667761538462,0.71935346153846,0.75201135714286
05_02,0.6671686,0.72645152,0.81752520833333
05_03,0.6835173,0.7249697,0.91164865
07_02,0.61820804761905,0.77515928571429,0.71066181818182
07_03,0.60527423076923,0.78426230769231,0.71866546153846
07_07,0.63698488235294,0.735482,0.72799388235294
