idDocumentSentence1,idDocumentSentence2,cosine,sentence
3112678,5230018,0.778442,"A Secretaria Municipal de Educação do Rio de Janeiro informou que instaurou sindicância para apurar o caso."
4361556,5230027,0.695376,"Para que essa questão da injúria racial seja considerada como racismo de fato."
3112682,5230020,0.718789,"Começou a chegar áudios pra mim, no WhatsApp, de pessoas que estudaram com ela anos atrás e que falou que sofreu a mesma coisa com ela, racismo."
3112668,5230013,0.750514,"A vítima, uma menina de oito anos."
3112660,5230009,0.84112,"A professora de uma escola municipal no Rio de Janeiro foi presa após atacar uma das alunas com ofensas racistas."
3112686,5230022,0.640682,"Esse pesquisador fala sobre as mudanças necessárias para construirmos uma sociedade antirracista."
3112672,5230015,0.663454,"Chegou na sexta-feira, a professora chamou ela de preta do cabelo duro."
3112690,5230024,0.619288,"Nossa produção tentou entrar em contato com a defesa da professora Cristiane Bispo Valeriano, mas não obteve resposta."
3112664,5230011,0.612251,"A professora Cristiane Bispo Valeriano, que dá aula na escola municipal Estados Unidos, localizada no Rio de Janeiro, foi levada pela ambulância do Corpo de Bombeiros."
3112676,5230017,0.811908,"E aí, na sexta-feira, na mesma hora que minha filha me ligou, eu vim aqui com a polícia."
4361554,5230026,0.733903,"E que a professora foi afastada de suas funções e pode ser demitida do serviço público."
3112680,5230019,0.554036,"Enquanto isso, já surgiram outros relatos semelhantes de injúria racial envolvendo a mesma professora."
4361558,5230028,0.825162,"E que as pessoas passem a ser responsabilizadas por racismo e pagar por isso, só assim o racismo pode começar a ser minimizado na sociedade."
3112684,5230021,0.397151,"A pena para o crime de injúria racial é de reclusão de dois a cinco anos, além de multa."
3112670,5230014,0.64844,"Na quarta-feira passada, a minha filha chegou em casa falando que a professora tinha chamado ela de lixo, que ela fumava crack  e tacou uma bolinha de papel nela."
3112688,5230023,0.759016,"Essa interpretação da lei e a lei, ela precisa ser mudada para que isso seja incluso."
3112662,5230010,0.627137,"Pois é, a família chamou a polícia e luta agora por justiça para que casos como esse não voltem a acontecer."
3112674,5230016,0.966009,"E falou que ela morava debaixo da ponte ainda, né."
3112666,5230012,0.940457,"Ela passou mal ao ser presa em flagrante pelo crime de injúria racial."
3349207,5230025,0.916259,"A mãe relata que aconteceu."
