idDocumentSentence1,idDocumentSentence2,cosine,sentence
3117300,5230084,0.329417,"Além disso, a decisão do Supremo foi interpretada por alguns parlamentares, incluindo o presidente do senado Rodrigo Pacheco, como invasão de competência legislativa."
3117284,5230077,0.823648,"Todo cenário é de muita cautela, muito respeito, até porque tem que lembrar que a cannabis ainda é uma substância proibida, não foi legalizada."
3117304,5230086,0.680424,"Quem recebe os habeas corpus, que envolve as pessoas presas com drogas, é o Supremo Tribunal Federal."
3117290,5230079,0.458166,"Quando a quantidade é reduzida para até vinte e cinco gramas, o número de presos cai para menos de nove mil."
3117270,5230072,0.774304,"Segundo especialistas, uma das expectativas é diminuir injustiças contra negros e pobres nas periferias."
3117308,5230088,-1,"Portanto, não existe matéria mais pertinente à atuação do Supremo do que essa."
3117294,5230081,0.388864,"A decisão do Supremo é definitiva e deve começar a valer assim que for publicada."
3117274,5230074,0.757644,"Além disso, continua sendo proibido usar maconha em lugares públicos."
4372932,5230090,0.984398,"Como participar de cursos sobre dependência."
3117298,5230083,0.424754,"A PEC, que já foi aprovada no senado e agora será discutida em uma comissão especial na câmara, torna crime o porte e a posse de todas as drogas em qualquer quantidade."
3117280,5230076,0.745203,"Eu acho que as pessoas não queriam se sentir criminosas."
4372938,5230092,0.725936,"Tirando essa questão que às vezes injustamente acontecia de se for pego em uma situação de vulnerabilidade, em um local mais humilde, de fato era colocado no sistema prisional."
3117302,5230085,0.384375,"No início da sessão de hoje do Supremo, o presidente da corte falou sobre as acusações de que o STF invadiu a competência do congresso sobre o tema."
3117286,5230078,0.8774,"Do ponto de vista das contas públicas, hoje, o Brasil gasta quase seiscentos milhões de reais por ano para manter na cadeia cerca de dezenove mil presos condenados por portar até cem gramas de maconha."
3117268,5230071,0.777088,"E agora, quais as repercussões dessas decisões do STF?"
3117306,5230087,0.506953,"E, portanto, nós precisamos ter um critério que oriente a nós mesmos em que situações se deve considerar tráfico e em que situação se deve considerar uso."
3117292,5230080,0.601296,"Você tira uma discussão que deixa só a cargo do delegado, do juiz ou do judiciário como um todo, decidir quem vai ou quem não vai para a cadeia."
3117272,5230073,0.860704,"Pela decisão do Supremo, agora, quem for enquadrado pela polícia como usuário não será fichado com antecedentes criminais, mas estará sujeito a penas administrativas e socioeducativas."
4372930,5230089,0.573555,"Além de impactar o crime organizado e diminuir o chamado encarceramento em massa no país."
3117296,5230082,0.762953,"Mas o Congresso continua analisando uma mudança na constituição, que pode reverter a situação."
3117276,5230075,0.796134,"A gente tem uma consciência social, ninguém quer causar transtorno para vizinho, não dar trabalho para ninguém."
4372936,5230091,0.302314,"Com gastos estimados de duzentos e sessenta e três milhões de reais."
