"Document Name","Document ID",Corpus,"Total AS Count","Status ACCEPTED Count","Status CREATED Count","Status UPDATED Count","Total Annotations"
Reporter_Brasil_03_11,19828,Reporter_Brasil_LREC2026_eval,131,0,131,0,570
Reporter_Brasil_03_12,19831,Reporter_Brasil_LREC2026_eval,157,0,157,0,610
Reporter_Brasil_02_13,19834,Reporter_Brasil_LREC2026_eval,134,0,46,88,1355
Reporter_Brasil_02_14,19837,Reporter_Brasil_LREC2026_eval,168,0,168,0,680
Reporter_Brasil_04_01,19840,Reporter_Brasil_LREC2026_eval,257,9,157,91,1715
Reporter_Brasil_04_03,19843,Reporter_Brasil_LREC2026_eval,138,0,138,0,645
Reporter_Brasil_04_06,19846,Reporter_Brasil_LREC2026_eval,66,1,9,56,675
Reporter_Brasil_05_01,19849,Reporter_Brasil_LREC2026_eval,68,0,68,0,290
Reporter_Brasil_05_02,19852,Reporter_Brasil_LREC2026_eval,127,0,127,0,505
Reporter_Brasil_05_03,19855,Reporter_Brasil_LREC2026_eval,115,0,115,0,585
Reporter_Brasil_07_02,19858,Reporter_Brasil_LREC2026_eval,135,3,85,47,1030
Reporter_Brasil_07_03,19861,Reporter_Brasil_LREC2026_eval,85,0,85,0,380
Reporter_Brasil_07_07,19864,Reporter_Brasil_LREC2026_eval,110,0,110,0,470
