Document,frames,fes
Reporter_Brasil_02_13,53,83
Reporter_Brasil_02_14,56,94
Reporter_Brasil_03_11,56,86
Reporter_Brasil_03_12,57,92
Reporter_Brasil_04_01,87,138
Reporter_Brasil_04_06,20,28
Reporter_Brasil_05_01,26,41
Reporter_Brasil_05_02,54,75
Reporter_Brasil_05_03,59,93
Reporter_Brasil_07_02,58,91
Reporter_Brasil_07_03,46,69
Reporter_Brasil_07_07,60,77
