01-01-01,00:00,00:15
01-01-02,00:15,00:37
01-01-03,00:37,01:26
01-02-01,01:26,03:11
01-02-02,03:11,03:19
01-03-01,03:19,03:30
01-03-02,03:30,04:19
01-03-03,04:19,05:36
01-03-04,05:36,07:07
01-03-05,07:07,08:24
01-03-06,08:24,08:50
01-04-01,08:50,08:55
01-04-02,08:55,09:00
01-05-01,09:00,09:27
01-05-02,09:27,10:04
01-05-03,10:04,10:27
01-05-04,10:27,11:06
01-05-05,11:06,11:15
01-05-06,11:15,11:33
01-05-07,11:33,12:45
01-06-01,12:45,13:37
01-06-02,13:37,14:16
01-07-01,14:16,14:33
01-07-02,14:33,14:54
01-07-03,14:54,15:10
01-07-04,15:10,16:34
01-08-01,16:34,16:38
01-08-02,16:38,16:43
01-09-01,16:43,17:05
01-09-02,17:05,17:32
01-09-03,17:32,17:49
01-09-04,17:49,18:14
01-09-05,18:14,18:26
01-09-06,18:26,19:28
01-10-01,19:28,19:58
01-10-02,19:58,20:47
01-10-03,20:47,21:34
01-10-04,21:34,22:18
01-10-05,22:18,23:10
