01-01-01,196;337;171;524;171;858;860;491;288;1190;157;157;58;157;491;748;183;510;51;171;60;11;849
01-01-02,102;157;398;206;157;524;398;147
01-01-03,1046;183;93;398;131;1253;3;157;216;183;58;156;524;252;237;1000;72
01-02-01,60;252;1338;1184;524;524;157;58;1191;757;157;571;60;13;171;524;610;1184;398;30;1184;75;49;30;1375;233;30;193;176;1184;157;94;849
01-02-02,59;196;524;1184;278;360;171;157;175;1077;623;131;157
01-03-01,1184;611
01-03-02,524;252;1423;524;278;252;1423;238;196;252;390;252;462;238;11;1375;524;196;57;105;147;462;239;179;1375
01-03-03,58;337;524;58;337;183;123;278;390;183;229;56;13;1253;275;155;1140;337;226;524;11;40;956;278;48;12;1375;1120;136;337;392;58;390;252;1414;226;60;611
01-03-04,524;956;390;621;756;917;1414;524;524;479;611;183;524;30;51;571;524;571;272;272;956;524;243;1009;524;621;252;1414;983;237;252;390;571;60;196;524;390;379;252;237;524;621;238
01-03-05,524;571;60;524;11;1375;147;147;524;336;60;147;147
01-03-06,524;216;72;252;183;58;183;176;278;398;337;58;846;252;252;162;524;278;30;196;462;390;278;492;492;956;144;462;571;72;462;183;252;500;278;12;183;58;492;72;1375
01-04-01,131;157;234
01-04-02,1184;524;171
01-05-01,206;96;157;1000;237;157;299;390;390;278;176;169;275;157;490
01-05-02,157;957;524;479;183;123;278;571;956;176;157;278;48;58;196;490;756
01-05-03,278;58;123;30;193;1253;275;278;374
01-05-04,30;215
01-05-05,278;490;56;275;176;392;492;492;226;1120;169;58;486;337;490;417;995;237;178;183
01-05-06,491;272;1414;611;58;496;237
01-05-07,157;176;275;535;278;123;275;272;148;30;456;1375
01-06-01,216;58;398;60;183;505;183;911;398;3;479;183;179;524;524
01-06-02,30;176;49;957
01-07-01,1427;1427;114;252;154;226;392;131;60;505;390;390;278;175;102;1184;398;356;611;252;278
01-07-02,252;1426;617;252
01-07-03,956;252;462;621;621;252;490;238;524;30;278
01-07-04,30;42;524;147;11;63;828;147;524;379;238
01-08-01,169;956;13;1404;374
01-08-02,169;956;13
01-09-01,623;171;486;157;157;490;491;398;49;1253;278;1414;171;1190;58;1292;3;1375;175;390
01-09-02,30;457;490
01-09-03,154;70;1431;390;524;183;134;3
01-09-04,479;183;148;3;148;183;178;524;398;300
01-09-06,183;58;179;1187;30;1187;157;183;234;30;60
01-10-01,623;398;206;171;398;840;276;206
01-10-02,3;183;611;125;247;524;147;30;1375;233
01-10-03,623;1427;96;171;183;611;96;486;390;490;206;58;183
01-10-04,30;390;390;571;492;252;524;278;398;278;3;238;252;840;183;96;486;206;156;491;390;337
01-10-05,13;252;252;278;492;611;216;13
