idDocumentSentence1,idDocumentSentence2,cosine
3112121,5229624,1
3112123,5229625,1
3112125,5229626,1
3112127,5229627,1
3112129,5229628,1
3112131,5229629,1
3112133,5229630,1
3112135,5229631,1
3112137,5229632,1
3112139,5229633,1
3112141,5229634,1
3112143,5229635,1
3112145,5229636,1
3112147,5229637,1
3112149,5229638,1
3112151,5229639,1
3112153,5229640,1
3112155,5229641,1
3112157,5229642,1
3112159,5229643,1
3112161,5229644,1
3112163,5229645,1
3112165,5229646,1
3112167,5229647,1
3112171,5229648,1
3112173,5229649,1
3112175,5229650,1
3112177,5229651,1
3112179,5229652,1
3112181,5229653,1
3112183,5229654,1
3112185,5229655,1
3348733,5229656,1
3348735,5229657,1
4358978,5229658,1
4358980,5229659,1
4358982,5229660,1
4358984,5229661,1
4358985,5229662,1
4358987,5229663,1
4358989,5229664,1
4358991,5229665,1
4358993,5229666,1
4358995,5229667,1
4358996,5229668,1
4358998,5229669,1
4359000,5229670,1
4359002,5229671,1
4359004,5229672,1
4359006,5229673,1
4359008,5229674,1
4359010,5229675,1
