idDocumentSentence1,idDocumentSentence2,cosine
3126207,5229297,1
3126209,5229298,1
3126211,5229299,1
3126213,5229300,1
3126215,5229301,1
3126217,5229302,1
3126219,5229303,1
3126221,5229304,1
3126223,5229305,1
3126225,5229306,1
3126227,5229307,1
3126229,5229308,1
3126231,5229309,1
3126233,5229310,1
3126235,5229311,1
3299189,5229312,1
3299235,5229313,1
3348655,5229314,1
3348657,5229315,1
3348659,5229316,1
3348661,5229317,1
3348663,5229318,1
3348664,5229319,1
3348666,5229320,1
4358907,5229321,1
4358909,5229322,1
4358911,5229323,1
4358913,5229324,1
