idDocumentSentence1,idDocumentSentence2,cosine
3126237,5229380,1
3126239,5229381,1
3126241,5229382,1
3126243,5229383,1
3126245,5229384,1
3126247,5229385,1
3126251,5229386,1
3126253,5229387,1
3126255,5229388,1
3126257,5229389,1
3126259,5229390,1
3126261,5229391,1
3126263,5229392,1
3126265,5229393,1
3348674,5229394,1
3348678,5229395,1
3348680,5229396,1
3348682,5229397,1
4358915,5229398,1
4358917,5229399,1
4358919,5229400,1
4358921,5229401,1
4358923,5229402,1
4358925,5229403,1
4358927,5229404,1
4358929,5229405,1
4358931,5229406,1
