idDocumentSentence1,idDocumentSentence2,cosine
3111693,5229935,1
3111695,5229936,1
3111697,5229937,1
3112376,5229938,1
3112378,5229939,1
3112380,5229940,1
3112382,5229941,1
3112384,5229942,1
3112386,5229943,1
3112388,5229944,1
3112390,5229945,1
3112392,5229946,1
3112394,5229947,1
3112396,5229948,1
3112398,5229949,1
3112400,5229950,1
3112402,5229951,1
3112404,5229952,1
4361534,5229953,1
4361536,5229954,1
4361538,5229955,1
4361540,5229956,1
4361542,5229957,1
4361544,5229958,1
4361546,5229959,1
4361548,5229960,1
4361550,5229961,-1
