idFrameElement,idEntity,frameName,feName,objectProperty,propertyUri,propertyRange,rangeUri,matchType,confidence
14402,2747702,Quality,Constitution,hasConstituent,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasConstituent,Quality,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Quality,common_pattern,95
14403,2747703,Quality,Parthood,hasPart,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,Quality,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Quality,common_pattern,95
14404,2747704,Quality,Region,hasRegion,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasRegion,Region,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Region,common_pattern,95
14406,2747706,Region,Constitution,hasConstituent,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasConstituent,Region,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Region,common_pattern,95
14408,2747708,Region,Overlap,overlaps,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#overlaps,Region,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Region,common_pattern,95
14407,2747707,Region,Parthood,hasPart,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,Region,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Region,common_pattern,95
14409,2747709,Region,Sequence,precedes,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#precedes,Region,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Region,common_pattern,95
14417,2747717,Right,Role_definition,definesRole,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#definesRole,,,common_pattern,95
14418,2747718,Right,Task_definition,definesTask,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#definesTask,,,common_pattern,95
14426,2747726,Role,Classification,classifies,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#classifies,Object,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Object,common_pattern,95
14433,2747733,Role,Classification,classifies,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#classifies,Object,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Object,common_pattern,95
14429,2747729,Role,Parthood,hasPart,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,Role,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Role,common_pattern,95
14430,2747730,Role,Parthood,hasPart,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,Role,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Role,common_pattern,95
14431,2747731,Role,Parthood,hasPart,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,Role,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Role,common_pattern,95
14432,2747732,Role,Parthood,hasPart,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,Role,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Role,common_pattern,95
14437,2747737,Situation,Satisfaction,satisfies,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#satisfies,Description,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Description,common_pattern,95
14477,2747777,SpatioTemporalRegion,Constitution,hasConstituent,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasConstituent,SpaceRegion,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SpaceRegion,common_pattern,95
14478,2747778,SpatioTemporalRegion,Constitution,hasConstituent,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasConstituent,SpaceRegion,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SpaceRegion,common_pattern,95
14479,2747779,SpatioTemporalRegion,Constitution,hasConstituent,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasConstituent,SpaceRegion,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SpaceRegion,common_pattern,95
14498,2747798,Task,Execution,isExecutedIn,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isExecutedIn,Action,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Action,common_pattern,95
14492,2747792,Task,Parthood,hasPart,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,Task,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Task,common_pattern,95
14493,2747793,Task,Parthood,hasPart,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,Task,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Task,common_pattern,95
14494,2747794,Task,Parthood,hasPart,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,Task,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Task,common_pattern,95
14495,2747795,Task,Parthood,hasPart,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,Task,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Task,common_pattern,95
14502,2747802,Task,Task_attribution,isTaskOf,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isTaskOf,Role,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Role,common_pattern,95
14503,2747803,Theory,Composition,hasComponent,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasComponent,Relation,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Relation,common_pattern,95
14518,2747818,Transition,Setting,isSettingFor,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isSettingFor,Process,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Process,common_pattern,95
14519,2747819,Transition,Setting,isSettingFor,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isSettingFor,Process,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Process,common_pattern,95
14541,2747841,Workflow,Role_definition,definesRole,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#definesRole,Role,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Role,common_pattern,95
14542,2747842,Workflow,Task_definition,definesTask,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#definesTask,Task,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Task,common_pattern,95
